abbreviation,name_in_this_list,name_in_main_bibliography,main_publication_count
CNIC,Centro Nacional de Investigação Científica,Centro Nacional de Investigação Científica [National Center for Scientific Research],1
MD,Museu do Dundo,Museu do Dundo [Museum of Dundo],1
KIE,"Kenġanabanowt’yan Institows [Zoological Institute], National Academy of Sciences of Armenia","Kenġanabanowt’yan Institows [Zoological Institute], National Academy of Sciences of Armenia",1
ZMBHS,Zemaljski Muzej Bosne i Hercegovine [State Museum of Bosnia and Herzegovina],Zemaljski Muzej Bosne i Hercegovine [State Museum of Bosnia and Herzegovina],2
MZUSP,"Museu de Zoologia, Universidade de São Paulo","Museu de Zoologia, Universidade de São Paulo",1
CMN,Canadian Museum of Nature,"Canadian Museum of Nature – Musée canadien de la nature (formerly: National Museum of Canada, National Museum of Natural History)",1
IZP,"Dòngwù yánjiū suǒ, [Institute of Zoology], Zhōngguó kēxuéyuàn [Chinese Academy of Sciences]","Dòngwù yánjiū suǒ, [Institute of Zoology], Zhōngguó kēxuéyuàn [Chinese Academy of Sciences]",1
BNU,"[Zoological and Botanical Museum], Běijīng shīfàn dàxué [Beijing Normal University]","[Zoological and Botanical Museum], Běijīng shīfàn dàxué [Beijing Normal University]",1
SAU,Sìchuān nóngyè dàxué [Sichuan Agricultural University],Sìchuān nóngyè dàxué [Sichuan Agricultural University],1
ADBM,Museum at the Jesuit College at Nantang (Cathedral of the Immaculate Conception),Museum at the Jesuit College at Nantang (Cathedral of the Immaculate Conception),1
ZMS,Musée de Zikawei,Musée de Zikawei,13
MLMRH,"Muzeum lesnictví, myslivosti a rybářství, Národní zemědělské muzeum [Museum of Forestry, Game-keeping and Fisheries, National Museum of Agriculture]","Muzeum lesnictví, myslivosti a rybářství, Národní zemědělské muzeum [Museum of Forestry, Game- keeping and Fisheries, National Museum of Agriculture]",2
LMTU,"Loodusmuuseum, Tartu Ülikool [Museum of Natural History, Tartu University]","Loodusmuuseum, Tartu Ülikool [Museum of Natural History, Tartu University]",3
MHNCa,Muséum d’Histoire Naturelle de Caen,Muséum d’Histoire Naturelle de Caen,1
MVM,Melbourne Museum,"Melbourne Museum, Victoria Museums",2
MNHL,Musée d’Histoire Naturelle de Lille,"Museo de Historia Natural “Javier Prado”, Universidad Nacional Mayor de San Marcos",1
MMNH,Muséum d’Histoire Naturelle de Marseille,Muséum d’Histoire Naturelle de Marseille,1
NHMD,"Statens Naturhistoriske Museum, Københavns Universitet [Natural History Museum of Denmark, University of Copenhagen]","Natural History Museum, Denmark",1
ZMUH,Luonnontieteellinen keskusmuseo [Finnish Museum of Natural History],Luonnontieteellinen keskusmuseo [Finnish Museum of Natural History],1
MHNNF,Muséum d’Histoire Naturelle de Nantes,Muséum d’Histoire Naturelle de Nantes,1
SEMT,Sak′art′velos Erovnuli Muzeumi [Georgian National Museum],Sak′art′velos Erovnuli Muzeumi [Georgian National Museum],2
UMB,Naturkunde-Museum,Übersee-Museum,4
HLMD,Hessisches Landesmuseum,Hessisches Landesmuseum,1
SVMS,Süddeutsche Vogelwarte,Süddeutsche Vogelwarte,3
ZMPA,"Zōologiko Moyseio, Panepistīmioy Athīnōs [Zoological Museum, University of Athens]","ZÅologiko Moyseio, PanepistÄ«mioy AthÄ«nÅs [Zoological Museum, University of Athens]",2
IRHO,Magyar Királyi Madártani Intézet [Royal Hungarian Institute of Ornithology; Institut Regii Hungarici Ornithologici],Magyar Királyi Madártani Intézet [Royal Hungarian Institute of Ornithology; Institut Regii Hungarici Ornithologici],1
BNHS,Bombay Natural History Society,Bombay Natural History Society,8
MZB,"Museum Zoologi Bogor [Museum Zoologicum Bogoriense, Bogor Zoology Museum]","Museum Zoologi Bogor [Museum Zoologicum Bogoriense, Bogor Zoology Museum]",5
